index,name,desc,size,type,subtype,alignment,armor_class,hit_points,hit_dice,hit_points_roll,speed,strength,dexterity,constitution,intelligence,wisdom,charisma,proficiencies,damage_vulnerabilities,damage_resistances,damage_immunities,condition_immunities,senses,languages,challenge_rating,proficiency_bonus,xp,special_abilities,actions
aboleth,Aboleth,,Large,aberration,,lawful evil,17,135,18d10,18d10+36,10 ft.,21,9,15,18,15,18,"Saving Throw: CON, Saving Throw: INT, Saving Throw: WIS, Skill: History, Skill: Perception","","","","","{""darkvision"" => ""120 ft."", ""passive_perception"" => 20}","Deep Speech, telepathy 120 ft.",10,4,5900,"The aboleth can breathe air and water., While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater., If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.","Multiattack, Tentacle, Tail, Enslave"
acolyte,Acolyte,"Acolytes are junior members of a clergy, usually answerable to a priest. They perform a variety of functions in a temple and are granted minor spellcasting power by their deities.",Medium,humanoid,any race,any alignment,10,9,2d8,2d8,30 ft.,10,10,10,10,14,11,"Skill: Medicine, Skill: Religion","","","","","{""passive_perception"" => 12}",any one language (usually Common),0.25,2,50,"The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared:

- Cantrips (at will): light, sacred flame, thaumaturgy
- 1st level (3 slots): bless, cure wounds, sanctuary",Club
adult-black-dragon,Adult Black Dragon,,Huge,dragon,,chaotic evil,19,195,17d12,17d12+85,40 ft.,23,14,21,14,13,17,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",acid,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 21}","Common, Draconic",14,5,11500,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Acid Breath"
adult-blue-dragon,Adult Blue Dragon,,Huge,dragon,,lawful evil,19,225,18d12,18d12+108,40 ft.,25,10,23,16,15,19,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",lightning,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 22}","Common, Draconic",16,5,15000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Lightning Breath"
adult-brass-dragon,Adult Brass Dragon,,Huge,dragon,,chaotic good,18,172,15d12,15d12+75,40 ft.,23,10,21,14,13,17,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: History, Skill: Perception, Skill: Persuasion, Skill: Stealth","","",fire,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 21}","Common, Draconic",13,5,10000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons"
adult-bronze-dragon,Adult Bronze Dragon,,Huge,dragon,,lawful good,19,212,17d12,17d12+102,40 ft.,25,10,23,16,15,19,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Insight, Skill: Perception, Skill: Stealth","","",lightning,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 22}","Common, Draconic",15,5,13000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons"
adult-copper-dragon,Adult Copper Dragon,,Huge,dragon,,chaotic good,18,184,16d12,16d12+80,40 ft.,23,12,21,18,15,17,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Deception, Skill: Perception, Skill: Stealth","","",acid,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 22}","Common, Draconic",14,5,11500,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons"
adult-gold-dragon,Adult Gold Dragon,,Huge,dragon,,lawful good,19,256,19d12,19d12+133,40 ft.,27,14,25,16,15,24,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Insight, Skill: Perception, Skill: Persuasion, Skill: Stealth","","",fire,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 24}","Common, Draconic",17,6,18000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons"
adult-green-dragon,Adult Green Dragon,,Huge,dragon,,lawful evil,19,207,18d12,18d12+90,40 ft.,23,12,21,18,15,17,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Deception, Skill: Insight, Skill: Perception, Skill: Persuasion, Skill: Stealth","","",poison,"{""index"" => ""poisoned"", ""name"" => ""Poisoned"", ""url"" => ""/api/2014/conditions/poisoned""}","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 22}","Common, Draconic",15,5,13000,"The dragon can breathe air and water., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Poison Breath"
adult-red-dragon,Adult Red Dragon,,Huge,dragon,,chaotic evil,19,256,19d12,19d12+133,40 ft.,27,10,25,16,13,21,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",fire,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 23}","Common, Draconic",17,6,18000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Fire Breath"
adult-silver-dragon,Adult Silver Dragon,,Huge,dragon,,lawful good,19,243,18d12,18d12+126,40 ft.,27,10,25,16,13,21,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Arcana, Skill: History, Skill: Perception, Skill: Stealth","","",cold,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 21}","Common, Draconic",16,5,15000,"If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Breath Weapons"
adult-white-dragon,Adult White Dragon,,Huge,dragon,,chaotic evil,18,200,16d12,16d12+96,40 ft.,22,10,22,8,12,12,"Saving Throw: DEX, Saving Throw: CON, Saving Throw: WIS, Saving Throw: CHA, Skill: Perception, Skill: Stealth","","",cold,"","{""blindsight"" => ""60 ft."", ""darkvision"" => ""120 ft."", ""passive_perception"" => 21}","Common, Draconic",13,5,10000,"The dragon can move across and climb icy surfaces without needing to make an ability check. Additionally, difficult terrain composed of ice or snow doesn't cost it extra moment., If the dragon fails a saving throw, it can choose to succeed instead.","Multiattack, Bite, Claw, Tail, Frightful Presence, Cold Breath"
